Dining Hall,Day,Opening,Closing
Commodore Pizza Kitchen,Monday,11:00,22:00
Commodore Pizza Kitchen,Tuesday,11:00,22:00
Commodore Pizza Kitchen,Wednesday,11:00,22:00
Commodore Pizza Kitchen,Thursday,11:00,22:00
Commodore Pizza Kitchen,Friday,11:00,15:00
Commodore Pizza Kitchen,Saturday,15:00,20:00
Commodore Pizza Kitchen,Sunday,15:00,22:00
Rand Dining Center,Monday,7:00,10:00
Rand Dining Center,Monday,11:00,15:00
Rand Dining Center,Tuesday,7:00,10:00
Rand Dining Center,Tuesday,11:00,15:00
Rand Dining Center,Wednesday,7:00,10:00
Rand Dining Center,Wednesday,11:00,15:00
Rand Dining Center,Thursday,7:00,10:00
Rand Dining Center,Thursday,11:00,15:00
Rand Dining Center,Friday,7:00,10:00
Rand Dining Center,Friday,11:00,15:00
Rand Dining Center,Friday,16:00,20:00
Rand Dining Center,Saturday,8:00,20:00
Rand Dining Center,Sunday,Closed,Closed
The Commons Dining Center,Sunday,12:00,16:00
The Commons Dining Center,Sunday,17:00,21:00
The Commons Dining Center,Monday,7:00,10:00
The Commons Dining Center,Monday,11:00,15:00
The Commons Dining Center,Monday,17:00,21:00
The Commons Dining Center,Tuesday,7:00,10:00
The Commons Dining Center,Tuesday,11:00,15:00
The Commons Dining Center,Tuesday,17:00,21:00
The Commons Dining Center,Wednesday,7:00,10:00
The Commons Dining Center,Wednesday,11:00,15:00
The Commons Dining Center,Wednesday,17:00,21:00
The Commons Dining Center,Thursday,7:00,10:00
The Commons Dining Center,Thursday,11:00,15:00
The Commons Dining Center,Thursday,17:00,21:00
The Commons Dining Center,Friday,7:00,10:00
The Commons Dining Center,Friday,11:00,15:00
The Commons Dining Center,Friday,17:00,21:00
The Commons Dining Center,Saturday,8:00,11:00
The Commons Dining Center,Saturday,12:00,16:00
The Commons Dining Center,Saturday,17:00,21:00
The Commons Dining Center,Sunday,8:00,11:00
The Kitchen at Kissam,Sunday,12:00,16:00
The Kitchen at Kissam,Sunday,17:00,20:00
The Kitchen at Kissam,Monday,7:00,10:00
The Kitchen at Kissam,Monday,11:00,15:00
The Kitchen at Kissam,Monday,17:00,20:00
The Kitchen at Kissam,Tuesday,7:00,10:00
The Kitchen at Kissam,Tuesday,11:00,15:00
The Kitchen at Kissam,Tuesday,17:00,20:00
The Kitchen at Kissam,Wednesday,7:00,10:00
The Kitchen at Kissam,Wednesday,11:00,15:00
The Kitchen at Kissam,Wednesday,17:00,20:00
The Kitchen at Kissam,Thursday,7:00,10:00
The Kitchen at Kissam,Thursday,11:00,15:00
The Kitchen at Kissam,Thursday,17:00,20:00
The Kitchen at Kissam,Friday,7:00,10:00
The Kitchen at Kissam,Friday,11:00,15:00
The Kitchen at Kissam,Saturday,Closed,Closed
The Kitchen at Kissam,Sunday,8:00,11:00
E. Bronson Ingram Dining Center,Sunday,12:00,16:00
E. Bronson Ingram Dining Center,Sunday,17:00,21:00
E. Bronson Ingram Dining Center,Monday,11:00,15:00
E. Bronson Ingram Dining Center,Monday,17:00,21:00
E. Bronson Ingram Dining Center,Tuesday,11:00,15:00
E. Bronson Ingram Dining Center,Tuesday,17:00,21:00
E. Bronson Ingram Dining Center,Wednesday,11:00,15:00
E. Bronson Ingram Dining Center,Wednesday,17:00,21:00
E. Bronson Ingram Dining Center,Thursday,11:00,15:00
E. Bronson Ingram Dining Center,Thursday,17:00,21:00
E. Bronson Ingram Dining Center,Friday,11:00,15:00
E. Bronson Ingram Dining Center,Saturday,Closed,Closed
E. Bronson Ingram Dining Center,Sunday,8:00,11:00
Rothschild Dining Center - Contains Peanuts & Treenuts,Sunday,12:00,16:00
Rothschild Dining Center - Contains Peanuts & Treenuts,Sunday,17:00,21:00
Rothschild Dining Center - Contains Peanuts & Treenuts,Monday,11:00,15:00
Rothschild Dining Center - Contains Peanuts & Treenuts,Monday,17:00,21:00
Rothschild Dining Center - Contains Peanuts & Treenuts,Tuesday,11:00,15:00
Rothschild Dining Center - Contains Peanuts & Treenuts,Tuesday,17:00,21:00
Rothschild Dining Center - Contains Peanuts & Treenuts,Wednesday,11:00,15:00
Rothschild Dining Center - Contains Peanuts & Treenuts,Wednesday,17:00,21:00
Rothschild Dining Center - Contains Peanuts & Treenuts,Thursday,11:00,15:00
Rothschild Dining Center - Contains Peanuts & Treenuts,Thursday,17:00,21:00
Rothschild Dining Center - Contains Peanuts & Treenuts,Friday,11:00,15:00
Rothschild Dining Center - Contains Peanuts & Treenuts,Saturday,Closed,Closed
Rothschild Dining Center - Contains Peanuts & Treenuts,Sunday,8:00,11:00
Café Carmichael - Contains Peanuts & Treenuts,Monday,7:00,21:00
Café Carmichael - Contains Peanuts & Treenuts,Tuesday,7:00,21:00
Café Carmichael - Contains Peanuts & Treenuts,Wednesday,7:00,21:00
Café Carmichael - Contains Peanuts & Treenuts,Thursday,7:00,21:00
Café Carmichael - Contains Peanuts & Treenuts,Friday,7:00,11:00
Café Carmichael - Contains Peanuts & Treenuts,Saturday,Closed,Closed
Café Carmichael - Contains Peanuts & Treenuts,Sunday,10:00,21:00
The Pub at Overcup Oak,Monday,11:00,22:00
The Pub at Overcup Oak,Tuesday,11:00,22:00
The Pub at Overcup Oak,Wednesday,11:00,22:00
The Pub at Overcup Oak,Thursday,11:00,22:00
The Pub at Overcup Oak,Friday,11:00,15:00
The Pub at Overcup Oak,Saturday,Closed,Closed
The Pub at Overcup Oak,Sunday,15:00,22:00
Zeppos Dining,Sunday,12:00,16:00
Zeppos Dining,Sunday,17:00,20:00
Zeppos Dining,Monday,11:00,15:00
Zeppos Dining,Monday,17:00,20:00
Zeppos Dining,Tuesday,11:00,15:00
Zeppos Dining,Tuesday,17:00,20:00
Zeppos Dining,Wednesday,11:00,15:00
Zeppos Dining,Thursday,11:00,15:00
Zeppos Dining,Thursday,17:00,20:00
Zeppos Dining,Friday,11:00,15:00
Zeppos Dining,Friday,17:00,20:00
Zeppos Dining,Saturday,Closed,Closed
Zeppos Dining,Sunday,8:00,11:00
Branscomb Munchie,Monday,7:00,23:00
Branscomb Munchie,Tuesday,7:00,23:00
Branscomb Munchie,Wednesday,7:00,23:00
Branscomb Munchie,Thursday,7:00,23:00
Branscomb Munchie,Friday,7:00,23:00
Branscomb Munchie,Saturday,10:00,23:00
Branscomb Munchie,Sunday,10:00,23:00
Commons Munchie,Monday,7:00,22:00
Commons Munchie,Tuesday,7:00,22:00
Commons Munchie,Wednesday,7:00,22:00
Commons Munchie,Thursday,7:00,22:00
Commons Munchie,Friday,7:00,22:00
Commons Munchie,Saturday,10:00,22:00
Commons Munchie,Sunday,10:00,22:00
Highland Munchie,Monday,7:00,23:00
Highland Munchie,Tuesday,7:00,23:00
Highland Munchie,Wednesday,7:00,23:00
Highland Munchie,Thursday,7:00,23:00
Highland Munchie,Friday,7:00,23:00
Highland Munchie,Saturday,10:00,23:00
Highland Munchie,Sunday,10:00,23:00
Kissam Munchie,Monday,8:00,22:00
Kissam Munchie,Tuesday,8:00,22:00
Kissam Munchie,Wednesday,8:00,22:00
Kissam Munchie,Thursday,8:00,22:00
Kissam Munchie,Friday,8:00,22:00
Kissam Munchie,Saturday,8:00,22:00
Kissam Munchie,Sunday,8:00,22:00
Local Java Cafe at Alumni,Monday,7:00,14:00
Local Java Cafe at Alumni,Tuesday,7:00,14:00
Local Java Cafe at Alumni,Wednesday,7:00,14:00
Local Java Cafe at Alumni,Thursday,7:00,14:00
Local Java Cafe at Alumni,Friday,7:00,14:00
Local Java Cafe at Alumni,Saturday,8:00,13:00
Local Java Cafe at Alumni,Sunday,Closed,Closed
VandyBlenz,Monday,8:00,17:00
VandyBlenz,Tuesday,8:00,17:00
VandyBlenz,Wednesday,8:00,17:00
VandyBlenz,Thursday,Closed,Closed
VandyBlenz,Friday,Closed,Closed
VandyBlenz,Saturday,Closed,Closed
VandyBlenz,Sunday,Closed,Closed
Wasabi,Monday,11:00,20:00
Wasabi,Tuesday,11:00,20:00
Wasabi,Wednesday,11:00,20:00
Wasabi,Thursday,11:00,20:00
Wasabi,Friday,11:00,20:00
Wasabi,Saturday,11:00,14:00
Wasabi,Sunday,11:00,14:00
Suzie's Food for Thought Cafe,Monday,8:00,19:00
Suzie's Food for Thought Cafe,Tuesday,8:00,19:00
Suzie's Food for Thought Cafe,Wednesday,8:00,19:00
Suzie's Food for Thought Cafe,Thursday,8:00,19:00
Suzie's Food for Thought Cafe,Friday,8:00,15:00
Suzie's Food for Thought Cafe,Saturday,Closed,Closed
Suzie's Food for Thought Cafe,Sunday,Closed,Closed
Suzie's Blair School of Music,Monday,8:00,14:30
Suzie's Blair School of Music,Tuesday,8:00,14:30
Suzie's Blair School of Music,Wednesday,8:00,14:30
Suzie's Blair School of Music,Thursday,8:00,14:30
Suzie's Blair School of Music,Friday,8:00,14:30
Suzie's Blair School of Music,Saturday,Closed,Closed
Suzie's Blair School of Music,Sunday,Closed,Closed
Suzie's MRB III,Monday,8:00,16:30
Suzie's MRB III,Tuesday,8:00,16:30
Suzie's MRB III,Wednesday,8:00,16:30
Suzie's MRB III,Thursday,8:00,16:30
Suzie's MRB III,Friday,8:00,16:30
Suzie's MRB III,Saturday,Closed,Closed
Suzie's MRB III,Sunday,Closed,Closed
Grins Vegetarian Cafe,Monday,7:30,20:00
Grins Vegetarian Cafe,Tuesday,7:30,20:00
Grins Vegetarian Cafe,Wednesday,7:30,20:00
Grins Vegetarian Cafe,Thursday,7:30,20:00
Grins Vegetarian Cafe,Friday,7:30,20:00
Grins Vegetarian Cafe,Saturday,Closed,Closed
Grins Vegetarian Cafe,Sunday,Closed,Closed
Suzie’s Featheringill,Monday,8:00,14:30
Suzie’s Featheringill,Tuesday,8:00,14:30
Suzie’s Featheringill,Wednesday,8:00,14:30
Suzie’s Featheringill,Thursday,8:00,14:30
Suzie’s Featheringill,Friday,8:00,14:30
Suzie’s Featheringill,Saturday,Closed,Closed
Suzie’s Featheringill,Sunday,Closed,Closed
Holy Smokes Kosher Food Truck,Monday,12:00,13:30
Holy Smokes Kosher Food Truck,Monday,17:00,19:30
Holy Smokes Kosher Food Truck,Tuesday,12:00,13:30
Holy Smokes Kosher Food Truck,Tuesday,17:00,19:30
Holy Smokes Kosher Food Truck,Wednesday,12:00,13:30
Holy Smokes Kosher Food Truck,Wednesday,17:00,19:30
Holy Smokes Kosher Food Truck,Thursday,12:00,13:30
Holy Smokes Kosher Food Truck,Thursday,17:00,19:30
Holy Smokes Kosher Food Truck,Friday,Closed,Closed
Holy Smokes Kosher Food Truck,Saturday,Closed,Closed
Holy Smokes Kosher Food Truck,Sunday,17:00,19:30
